378767,Male,58,1,28.0,1,1-2 Year,No,39673.0,26.0,113,0
378768,Male,36,1,37.0,1,1-2 Year,No,2630.0,160.0,203,0
378769,Male,33,1,28.0,0,< 1 Year,Yes,47817.0,124.0,245,0
378770,Female,72,1,28.0,0,1-2 Year,No,42260.0,124.0,277,0
378771,Male,60,1,41.0,0,> 2 Years,Yes,40932.0,26.0,227,0
378772,Female,38,1,29.0,0,1-2 Year,Yes,2630.0,156.0,169,1
378773,Male,71,1,28.0,0,1-2 Year,Yes,31129.0,26.0,239,0
378774,Female,35,1,28.0,1,1-2 Year,No,29202.0,152.0,243,0
378775,Female,45,1,28.0,0,1-2 Year,Yes,50429.0,26.0,240,0
378776,Male,42,1,28.0,1,1-2 Year,No,23809.0,26.0,123,0
378777,Male,23,1,33.0,1,< 1 Year,No,33107.0,152.0,125,0
378778,Female,23,1,33.0,1,< 1 Year,No,24021.0,152.0,206,0
378779,Female,21,1,46.0,0,< 1 Year,Yes,23785.0,160.0,280,0
378780,Male,53,1,28.0,0,1-2 Year,Yes,40007.0,26.0,223,1
378781,Male,80,1,28.0,0,1-2 Year,Yes,36988.0,26.0,204,0
378782,Female,31,1,8.0,0,< 1 Year,Yes,42732.0,26.0,297,1
378783,Male,23,1,33.0,1,< 1 Year,Yes,41579.0,152.0,162,0
378784,Male,34,1,46.0,0,1-2 Year,No,2630.0,154.0,26,0
378785,Male,39,1,28.0,1,1-2 Year,No,43753.0,124.0,239,0
378786,Male,51,1,8.0,0,1-2 Year,Yes,38146.0,26.0,142,0
378787,Female,25,1,15.0,1,< 1 Year,No,35666.0,152.0,234,0
378788,Male,27,1,2.0,1,< 1 Year,No,38255.0,152.0,160,0
378789,Female,24,1,28.0,1,< 1 Year,No,24247.0,152.0,197,0
378790,Female,44,1,28.0,0,1-2 Year,Yes,44577.0,26.0,93,1
378791,Male,73,1,28.0,0,> 2 Years,Yes,46159.0,26.0,34,0
378792,Male,23,1,3.0,1,< 1 Year,No,32240.0,152.0,134,0
378793,Male,33,1,30.0,0,< 1 Year,Yes,42753.0,124.0,187,0
378794,Male,67,1,41.0,1,1-2 Year,No,35515.0,135.0,102,0
378795,Female,69,1,28.0,0,> 2 Years,Yes,23909.0,26.0,233,0
378796,Male,42,1,8.0,1,1-2 Year,No,2630.0,157.0,237,0
378797,Female,46,1,26.0,0,1-2 Year,Yes,43109.0,120.0,229,0
378798,Female,25,1,50.0,1,< 1 Year,No,31739.0,152.0,151,0
378799,Male,34,1,15.0,1,1-2 Year,No,30084.0,152.0,95,0
378800,Female,39,1,15.0,0,1-2 Year,Yes,2630.0,156.0,282,0
378801,Female,25,1,17.0,1,< 1 Year,No,32692.0,152.0,37,0
378802,Female,24,1,8.0,1,< 1 Year,No,36736.0,152.0,295,0
378803,Female,22,1,30.0,1,< 1 Year,No,37931.0,152.0,197,0
378804,Female,25,1,8.0,1,< 1 Year,Yes,33439.0,152.0,79,0
378805,Female,42,1,48.0,1,1-2 Year,No,2630.0,26.0,92,0
378806,Male,25,1,14.0,1,< 1 Year,No,2630.0,26.0,26,0
378807,Female,51,1,41.0,0,1-2 Year,Yes,2630.0,26.0,49,0
378808,Male,48,1,28.0,0,> 2 Years,Yes,35279.0,26.0,100,1
378809,Male,56,1,28.0,0,> 2 Years,Yes,27521.0,26.0,91,0
378810,Male,70,1,28.0,1,1-2 Year,No,39256.0,26.0,28,0
378811,Male,20,1,36.0,0,< 1 Year,Yes,29359.0,160.0,54,0
378812,Male,43,1,28.0,0,1-2 Year,Yes,2630.0,124.0,137,0
378813,Female,69,1,29.0,0,1-2 Year,Yes,30028.0,26.0,265,0
378814,Male,20,1,21.0,0,< 1 Year,Yes,40961.0,156.0,30,0
378815,Female,74,1,9.0,0,1-2 Year,Yes,2630.0,124.0,289,0
378816,Female,37,1,35.0,0,1-2 Year,Yes,2630.0,124.0,194,1
378817,Male,25,1,47.0,1,< 1 Year,Yes,23010.0,160.0,58,0
378818,Male,24,1,28.0,0,< 1 Year,Yes,89582.0,152.0,110,1
378819,Male,25,1,21.0,1,< 1 Year,No,33175.0,152.0,119,0
378820,Female,23,1,30.0,0,< 1 Year,Yes,36647.0,151.0,167,0
378821,Male,51,1,35.0,0,1-2 Year,Yes,2630.0,88.0,35,1
378822,Male,40,1,28.0,0,1-2 Year,Yes,29695.0,124.0,250,0
378823,Male,22,1,29.0,1,< 1 Year,Yes,38228.0,152.0,105,0
378824,Female,66,1,28.0,0,1-2 Year,Yes,26791.0,26.0,59,1
378825,Male,49,1,28.0,0,1-2 Year,Yes,71622.0,124.0,270,0
378826,Female,21,1,46.0,0,< 1 Year,Yes,43797.0,152.0,112,0
378827,Female,28,1,3.0,0,< 1 Year,Yes,54331.0,152.0,250,0
378828,Male,48,1,28.0,0,1-2 Year,Yes,41206.0,124.0,222,1
378829,Male,43,1,33.0,0,1-2 Year,Yes,34471.0,124.0,174,1
378830,Male,32,1,11.0,1,< 1 Year,No,48717.0,152.0,278,0
378831,Male,47,1,28.0,1,1-2 Year,No,28897.0,55.0,245,0
378832,Male,30,1,28.0,1,< 1 Year,No,40097.0,152.0,21,0
378833,Male,44,1,17.0,0,1-2 Year,Yes,49896.0,26.0,143,0
378834,Female,63,1,3.0,1,1-2 Year,No,26955.0,26.0,60,0
378835,Female,24,1,11.0,1,< 1 Year,No,15067.0,122.0,32,0
378836,Male,24,1,11.0,1,< 1 Year,No,32106.0,152.0,14,0
378837,Female,28,1,29.0,1,< 1 Year,No,55505.0,152.0,15,0
378838,Male,62,1,28.0,0,1-2 Year,Yes,50083.0,52.0,85,0
378839,Male,38,1,28.0,1,1-2 Year,No,20624.0,26.0,182,1
378840,Female,21,1,25.0,1,< 1 Year,No,29408.0,152.0,15,0
378841,Female,34,1,45.0,1,1-2 Year,No,26952.0,124.0,110,0
378842,Male,22,1,50.0,1,< 1 Year,No,37280.0,152.0,42,0
378843,Male,34,1,50.0,0,1-2 Year,Yes,39355.0,152.0,117,0
378844,Female,26,1,35.0,1,< 1 Year,No,2630.0,160.0,251,0
378845,Female,28,1,43.0,1,< 1 Year,No,46181.0,152.0,298,0
378846,Male,33,1,46.0,1,1-2 Year,No,27794.0,124.0,233,0
378847,Male,39,1,47.0,0,1-2 Year,Yes,34867.0,26.0,168,0
